config,event_class,diag_acc,tool_acc
E1_LLM,E1,0.3333333333333333,0.3333333333333333
E1_LLM,E2,1.0,0.5
E1_LLM,E3,0.0,1.0
E1_LLM,E4,0.6666666666666666,0.0
E1_LLM,E5,0.3333333333333333,1.0
E1_LLM,E6,1.0,0.3333333333333333
E1_LLM,E7,1.0,0.0
E1_LLM,E9,0.25,0.0
E2_LLM_RAG,E1,0.6666666666666666,0.6666666666666666
E2_LLM_RAG,E2,1.0,1.0
E2_LLM_RAG,E3,1.0,1.0
E2_LLM_RAG,E4,0.6666666666666666,0.6666666666666666
E2_LLM_RAG,E5,0.3333333333333333,0.3333333333333333
E2_LLM_RAG,E6,1.0,0.0
E2_LLM_RAG,E7,0.0,1.0
E2_LLM_RAG,E9,0.0,0.5
E3_LLM_Tools,E1,0.6666666666666666,0.6666666666666666
E3_LLM_Tools,E2,1.0,0.5
E3_LLM_Tools,E3,1.0,1.0
E3_LLM_Tools,E4,0.6666666666666666,0.6666666666666666
E3_LLM_Tools,E5,0.6666666666666666,1.0
E3_LLM_Tools,E6,0.6666666666666666,1.0
E3_LLM_Tools,E7,0.0,1.0
E3_LLM_Tools,E9,0.25,1.0
E4_Full,E1,1.0,1.0
E4_Full,E2,1.0,1.0
E4_Full,E3,1.0,1.0
E4_Full,E4,0.6666666666666666,1.0
E4_Full,E5,1.0,1.0
E4_Full,E6,0.6666666666666666,1.0
E4_Full,E7,1.0,1.0
E4_Full,E9,0.75,0.5
