config,event_class,diag_acc,tool_acc
E1_LLM,E0,0.58,0.46
E1_LLM,E1,0.5671641791044776,0.47761194029850745
E1_LLM,E2,0.7413793103448276,0.46551724137931033
E1_LLM,E3,0.55,0.45
E1_LLM,E4,0.5223880597014925,0.6119402985074627
E1_LLM,E5,0.5573770491803278,0.4918032786885246
E1_LLM,E6,0.6,0.41818181818181815
E1_LLM,E7,0.4918032786885246,0.5081967213114754
E1_LLM,E8,0.547945205479452,0.4520547945205479
E1_LLM,E9,0.4791666666666667,0.3541666666666667
E2_LLM_RAG,E0,0.9,0.52
E2_LLM_RAG,E1,0.746268656716418,0.6567164179104478
E2_LLM_RAG,E2,0.6896551724137931,0.5517241379310345
E2_LLM_RAG,E3,0.7333333333333333,0.6833333333333333
E2_LLM_RAG,E4,0.7761194029850746,0.4925373134328358
E2_LLM_RAG,E5,0.639344262295082,0.6229508196721312
E2_LLM_RAG,E6,0.7090909090909091,0.5818181818181818
E2_LLM_RAG,E7,0.7704918032786885,0.6229508196721312
E2_LLM_RAG,E8,0.6712328767123288,0.6027397260273972
E2_LLM_RAG,E9,0.6875,0.5208333333333334
E3_LLM_Tools,E0,0.82,0.8
E3_LLM_Tools,E1,0.8208955223880597,0.8805970149253731
E3_LLM_Tools,E2,0.7586206896551724,0.8620689655172413
E3_LLM_Tools,E3,0.8333333333333334,0.85
E3_LLM_Tools,E4,0.7313432835820896,0.8805970149253731
E3_LLM_Tools,E5,0.7868852459016393,0.8688524590163934
E3_LLM_Tools,E6,0.7636363636363637,0.7818181818181819
E3_LLM_Tools,E7,0.7868852459016393,0.7868852459016393
E3_LLM_Tools,E8,0.684931506849315,0.8356164383561644
E3_LLM_Tools,E9,0.6666666666666666,0.5625
E4_Full,E0,0.88,0.9
E4_Full,E1,0.9104477611940298,0.9253731343283582
E4_Full,E2,0.8793103448275862,0.9482758620689655
E4_Full,E3,0.8833333333333333,0.9333333333333333
E4_Full,E4,0.8507462686567164,0.9552238805970149
E4_Full,E5,0.9016393442622951,0.8688524590163934
E4_Full,E6,0.8363636363636363,0.9090909090909091
E4_Full,E7,0.8524590163934426,0.8688524590163934
E4_Full,E8,0.8904109589041096,0.8356164383561644
E4_Full,E9,0.8333333333333334,0.7708333333333334
